W,Frequence,Mut,Freedom_L,Freedom_R,mark
飞飞公主,2141,6.6,3.642,4.018,1
飞雷神,1541,8,4.31,4.484,1
非凡哥,1090,9.4,4.015,3.217,1
非洲警告,417,10.9,3.712,4.726,0
风男,432,6,3.389,4.896,1
风评被害,3317,12.3,5.283,5.709,0
封号斗罗,4963,8.1,3.847,2.791,1
疯狂踩点,1764,7.8,4.66,5.764,0
弗雷尔卓德,1221,12.9,5.314,4.414,1
伏地魔,464,8.5,4.131,4.046,1
扶弟魔,392,10.9,3.263,3.168,1
负能量,964,6.1,3.597,4.089,1
复活甲,623,10.6,4.909,4.757,1
副市长,286,10.5,4.625,2.908,1
伽罗,761,9,5.411,4.101,1
噶韭菜,700,11.3,3.302,2.506,1
感谢陪伴,14411,12.8,5.139,3.749,0
干的漂亮,3338,7.9,4.688,5.545,0
干活了,802,6.5,3.258,5.556,1
钢铁烈阳,376,8.9,4.559,4.907,1
钢铁侠,755,9.6,4.606,4.76,1
钢铁直男,284,8,3.789,3.382,1
钢之炼金术师,321,11.2,2.986,2.114,1
高产似母猪,269,13.1,3.783,4.367,1
高潮院长,334,8.1,4.343,4.759,1
高级弹幕,16580,8.8,5.7,6.139,0
高级黑,775,5.7,4.32,3.659,1
高能前方,16279,6.6,3.583,3.665,0
高能预警,11381,6.2,5.234,6.381,0
搞基,510,7.5,4.734,3.249,1
搞事情,698,5.8,4.38,4.113,0
各位观众,368,8.9,2.823,3.027,0
各位绅士,807,9.7,4.168,2.273,0
给老子爬,650,5.9,3.913,4.388,0
工地英语,524,10.4,4.346,4.656,0
工具人,2509,15.3,5.288,5.086,1
工藤新一,341,13.7,3.456,3.158,1
公开处刑,1464,9.3,5.072,5.35,0
公主殿下,3368,10.4,4.229,5.432,1
宫本武藏,736,9.2,2.864,5.325,1
宫园薰,261,11.9,3.03,3.586,1
恭送野王,3113,11.2,4.775,5.184,0
恭迎首席,2684,16.2,3.771,4.717,0
狗头保命,1070,5.6,4.929,5.536,1
狗熊蹭树,2133,9.9,2.889,3.957,1
咕噜灵波,817,10.1,2.357,3.286,1
呱呱呱,359,10.3,2.704,3.342,1
骨头社,403,8,4.679,3.06,1
怪化猫,270,6.7,3.88,4.462,1
怪物猎人,270,8.8,4.526,4.379,1
关闭弹幕,1383,11.3,2.284,5.299,0
关弹幕,1552,9,3.691,4.036,0
关掉弹幕,331,6.1,3.419,4.75,0
官方鬼畜,950,10.9,4.123,4.236,0
官方吐槽,269,9.7,3.763,4.17,0
光速qa,449,7.4,3.567,4.038,1
光头强,547,5.7,4.508,4.228,1
光翼展开,1285,9.9,2.932,4.394,1
广场舞,303,10,3.406,3.554,1
广东人,982,11.5,4.574,4.758,1
广东脏话,335,10.4,3.853,3.523,1
广告鬼才,728,12.5,5.506,5.969,0
广西人,381,9.1,4.223,4.053,1
诡术妖,510,13.1,4.945,2.173,1
诡术妖僧,304,10.8,4.887,5.082,1
鬼畜了,1280,9.7,3.685,4.659,0
鬼畜区,4123,10.9,4.524,4.351,0
鬼畜全明星,463,8.7,2.348,3.592,0
鬼见条,269,7.8,3.415,3.556,1
鬼鲛,269,7.4,3.813,4.544,1
鬼灭之刃,942,5.3,3.253,5.39,1
鬼灭之刃,275,7.7,3.926,3.667,1
贵圈真乱,383,8.8,3.792,4.917,1
郭老师,2510,6.8,4.599,2.061,1
过审小王子,257,6.4,4.323,4.372,1
过世主播,672,6.6,2.39,3.472,1
过于真实,3546,6.2,4.782,5.656,1
嗨起来,1565,6.8,4.278,2.406,1
还我童年,483,5,2.688,3.142,0
海尔兄弟,388,9.8,4.878,5.261,1
海克斯,497,9.3,3.346,4.57,1
海绵宝宝,7783,17,3.025,4.729,1
憨憨,3313,8.1,4.111,6.219,1
韩国人,1280,9.9,4.103,5.095,1
汉化组,3339,13,4.182,3.088,1
薅你毛,295,9.5,2.693,2.7,1
毫无违和,450,12.4,3.949,2.909,1
毫无违和感,8079,15.3,5.315,5.877,0
毫无压力,2367,14,4.838,4.827,1
好害怕,1521,5,2.055,4.069,1
好活当赏,6087,5.9,3.976,5.885,1
好恐怖,1037,6.2,3.737,3.092,0
好厉害,3399,9.7,4.652,4.453,0
好朋友,2555,9.2,3.288,2.53,0
好漂亮,1496,6.7,4.387,3.689,0
好人一生平安,352,11.4,3.877,3.855,0
好沙雕,520,5.3,3.6,2.33,0
好舒服,790,7.7,4.151,3.173,0
好熟悉,995,5.6,4.327,2.751,0
好汀,741,5.3,3.229,3.804,0
好温柔,1109,7.6,4.103,4.244,0
好喜欢,3206,6.2,2.811,4.524,0
好兄弟,3966,7,4.583,6.225,0
好押韵,543,5.3,3.313,2.83,0
耗子尾汁,3105,12.4,4.471,5.308,1
耗子喂汁,306,11.1,2.684,3.384,1
和你一起,273,5.9,2.815,3.452,0
和泉纱雾,466,6.9,3.385,3.483,1
河南一区,343,11.7,3.331,3.817,0
荷官发牌,610,14.5,2.526,3.874,1
核爆神曲,397,7.9,3.98,4.665,0
核能预警,1050,7.7,3.804,4.519,0
黑暗收割,270,7.8,4.86,5.281,1
黑镖客,267,8,3.513,3.236,1
黑虎阿福,630,6.4,2.046,2.205,0
黑历史,406,10.1,2.86,4.702,1
黑色玫瑰,942,6.9,5.309,4.737,1
黑执事,386,10.6,4.223,3.696,1
横跳,1725,8.5,2.322,5.418,1
红a,890,5.5,3.137,3.452,1
红红火火恍恍惚惚,31432,9.8,5.172,6.67,1
后宫番,386,7.1,3.411,4.428,1
后摇,341,6.4,3.565,4.384,1
厚颜无耻之人,4442,14.1,3.672,3.14,0
厚葬友军,1623,9.2,3.385,4.771,1
虎狼之词,3577,8.6,4.78,5.506,1
花泽香菜,361,7.6,3.344,3.481,1
花子君,889,6.6,2.764,3.677,1
华晨宇,308,14.3,3.845,2.207,1
华农兄弟,590,13.6,3.671,4.597,1
滑铲,445,9.8,3.862,4.826,1
划重点,361,10.4,3.177,4.959,1
画风突变,1036,8.3,4.797,5.368,0
画质感人,1711,5.8,3.648,4.142,0
画质好评,271,10.8,3.363,4.04,0
怀孕了,1711,15,4.243,5.351,0
坏女人,5154,8,4.294,3.203,0
欢迎回来,18025,18.9,5.819,6.606,1
环太平洋,504,6.2,3.495,4.248,1
缓缓打出,1236,16.1,3.799,2.154,0
换碟成功,1361,8.9,5.326,5.926,0
黄金之风,387,6.1,3.597,4.259,1
黄磊老师,1250,12.3,3.766,3.866,0
黄子韬,386,6.7,3.623,3.801,1
恍恍惚惚红红火火,2470,13.2,3.419,3.794,1
回家的诱惑,402,15.8,4.217,4.44,1
回首掏,313,10.2,5.013,4.371,1
回忆杀,616,10.8,4.211,3.884,1
毁童年,1257,11.6,3.618,3.576,1
秽土转生,695,14.2,4.585,4.748,1
混入其中,12713,9.7,5.63,6.216,1
火候刘明,439,10.3,3.051,3.156,1
火力全开,391,6.2,3.652,2.321,1
火前留名,2496,5.7,3.31,5.329,1
