Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,mark
们又,2,11,4.5,2.04,2.914,0.021276596,0.000248296,0
好无,2,9,4.3,2.948,2.059,0.021276596,0.000248296,0
猥琐,2,9,141902.2,2.419,2.059,0.021276596,0.000275885,1
窒息,2,8,17987.6,2,2.406,0.021276596,0.000275885,0
宋亚轩,3,9,15745.3,2.725,2.503,0.021276596,0.000275885,1
外圈刮,3,8,14190.2,1.061,2.75,0.021276596,0.000275885,0
屁股,2,9,8552.1,2.059,2.642,0.021276596,0.000275885,0
隐秘,2,9,5163.6,2.948,1.224,0.021276596,0.000275885,0
巨象挥鞭,4,8,3285.2,3,3,0.021276596,0.000275885,1
荣梓杉,3,10,2186.5,2.161,2.046,0.021276596,0.000275885,0
接受,2,10,1061.2,2.922,1.357,0.021276596,0.000275885,0
哦豁,2,8,1033.9,2.75,3,0.021276596,0.000275885,1
似李,2,10,699.7,3.122,1.771,0.021276596,0.000275885,0
成语,2,9,648.9,2.725,2.948,0.021276596,0.000275885,0
有奇效,3,8,489.1,1.549,2.75,0.021276596,0.000275885,0
对对,2,29,469,2.255,1.858,0.106382979,0.000275885,1
护眼,2,42,380.5,1.459,1.545,0.489361702,0.000275885,1
成型,2,9,358,1.88,3.17,0.021276596,0.000275885,0
谁把,2,9,347.4,2.725,1.352,0.021276596,0.000275885,0
入坑,2,8,331.5,2.75,2.406,0.021276596,0.000275885,1
腊八,2,10,306.1,3.322,1.571,0.021276596,0.000275885,0
方力申,3,11,296.2,3.096,3.027,0.063829787,0.000275885,0
袜子,2,8,279,2,2.406,0.021276596,0.000275885,0
至少,2,8,268.8,1.406,2.75,0.021276596,0.000275885,0
暗影六王,4,10,241.6,1.357,1.357,0.021276596,0.000275885,0
陈浩,2,8,220.5,3,1.549,0.021276596,0.000275885,0
甜一点,3,17,171.5,2.019,2.019,0.063829787,0.000275885,0
六换型,3,8,160.5,2.75,3,0.021276596,0.000275885,0
海草,2,15,130.2,2.873,2.74,0.106382979,0.000275885,0
毫不,2,8,114.5,2.156,2.156,0.021276596,0.000275885,0
李文,2,9,96.9,2.642,1.447,0.063829787,0.000275885,0
陈坤,2,9,92,2.948,2.197,0.021276596,0.000275885,0
全屏,2,8,87.3,3,2.75,0.021276596,0.000275885,0
大家,2,10,75.8,3.322,2.522,0.021276596,0.000275885,0
盯上了,3,8,75.2,1.406,2.75,0.021276596,0.000275885,0
李白,2,9,72.7,2.725,2.419,0.021276596,0.000275885,0
亲王扫六合,5,8,69.1,2.75,3,0.021276596,0.000275885,1
像吴,2,8,66.5,2.75,1.061,0.021276596,0.000275885,0
太君,2,9,60.5,2.948,1.352,0.021276596,0.000275885,0
后台,2,10,60,2.722,2.322,0.021276596,0.000275885,0
亿偏,2,8,59.7,1.061,3,0.021276596,0.000275885,0
拉拉,2,18,58.3,1.209,1.098,0.170212766,0.000275885,0
忘不了,3,10,56.4,2.446,2.922,0.042553191,0.000275885,0
能把,2,8,40.2,3,1.75,0.021276596,0.000275885,0
魔法,2,9,36.1,2.948,3.17,0.042553191,0.000275885,0
代表,2,8,30.2,2.406,2,0.021276596,0.000275885,0
